lemma|match|vr_lev|vr_status|CSR|CSR_form|imperative|question|HE response||pos
быти|быть|0.25|||будет|||||V-
вьсь|весь|0.25||||||||Px
кънязь|князь|0.1666666667|||князей|||||Nb
приити|прийти|0.1666666667|||приду|||||V-
рещи|речь|0.75|||реку|||||V-
дьнь|день|0.25|||дней|||||Nb
земля|земля|0|||земель|||||Nb
мъногыи|многий|0.4285714286|||многого|||||A-
отьць|отец|0.4|||отцов|||||Nb
хотѣти|хотеть|0.3333333333|||хочу|||||V-
сътворити|сотворить|0.2222222222|||сотворю|||||V-
посълати|послать|0.25|||пошлю||derivation: посол|I think we should ignore derivations unless they turn up by themselves||V-
цьркы|церковь|0.5714285714|||церквей||use a later form?|Won't that point be moot if we are going to operate with a full set of generated forms for LCS? We should then be able to see that the form stems from acc.sg.||Nb
вьсякыи|всякий|0.4285714286|||всяких|||||A-
възяти|взять|0.3333333333|||возьму|||||V-
братия|братия|0|||братий|||||Nb
начати|начать|0.1666666667|||начну||derivation: начинать. Ignore?|Ignore||V-
дъва|два|1|||двух|||||Ma
русьскыи|русский|0.375|||русских|||||A-
прияти|принять|0.2857142857|||приму|||||V-
жена|жена|0|||жён|||||Nb
къто|кто|0.25|||кого|||||Px
новъгородьць|новгородец|0.25|||новгородцев||новогородец marginally possible (archaic, toponyms)|||Nb
чьто|что|0.25|||чего|||||Pi
тъгда|тогда|0.2||||||||Df
врѣмя|время|0.2|||времён|||||Nb
бити|бить|0.25|||бью|бей|tense yer|||V-
убити|убить|0.2|||убью|убей|tense yer|||V-
мощи|мочь|0.5|||могу|||||V-
гривьна|гривна|0.1428571429|||гривен|||||Nb
сьрдьце|сердце|0.2857142857|||сердец|||||Nb
государь|государь|0|||государей|||||Nb
крьстъ|крест|0.3333333333|||крестов|||||Nb
съмьрть|смерть|0.2857142857|||смертей|||||Nb
любы|любовь|0.5|||любовей||use a later form?|moot due to generated forms?||Nb
възвратити|возвратить|0.2|||возвращу|||||V-
съказати|сказать|0.25|||скажу|||||V-
зъло|зло|0.25|||зол|||||Nb
дьржати|держать|0.2857142857|||держу|||||V-
житие|житие|0|||житий|||||Nb
вънити|войти|0.5|||||#irrelevant_irregular_change|n variation ignored||V-
зълыи|злой|0.6|||зол|||||A-
любити|любить|0.1666666667|||люблю|||||V-
почати|почать|0.5|||почну|||||V-
пълкъ|полк|0.4|||полков|||||Nb
мъножьство|множество|0.2|||множеств|||||Nb
зима|зима|0|||зим|||||Nb
пьрвыи|первый|0.3333333333|||первых|||||Mo
просити|просить|0.1428571429|||прошу|||||V-
пьсати|писать|0.3333333333|||пишу|||#irrelevant_irregular_change||V-
старьць|старец|0.2857142857|||старцев|||||Nb
прѣподобьныи|преподобный|0.25|||преподобен|||||A-
воля|воля|0|||воль|||||Nb
посадьникъ|посадник|0.2|||посадников|||||Nb
владыка|владыка|0|||владык|||||Nb
умрѣти|умереть|0.4285714286|||умру|||||V-
присълати|прислать|0.2222222222|||пришлю|||||V-
кънига|книга|0.1666666667|||книг|||||Nb
въстати|встать, восстать|0.2857142857|||встану|||||V-
избити|избить|0.625|||изобью|||||V-
око|око|1|||очей|||||Nb
сльза|слеза|0.2|||слёз|||||Nb
коньць|конец|0.3333333333|||концов|||||Nb
лодья|ладья|0.2|||ладей|||||Nb
кръвь|кровь|0.2|||кровей|||historically acc.sg.||Nb
село|село|0|||сёл|||||Nb
большии|больший|0.1428571429|||большого||matching with большой ОК? Or do we want больший??|this is comparative, changed to больший||A-
правьда|правда|0.1428571429|||правд||derivation: праведный, праведник|ignore derivations (they're probably on the list anyway)||Nb
крьстити|крестить|0.25|||крещу|||||V-
господьнь|господень|0.3333333333|||господня|||||A-
къдѣ|где|0.75||||||||Dq
отъити|отойти|0.3333333333|||отойду|||||V-
имѣние|имение|0.6666666667|||имений|||||Nb
дияволъ|дьявол|0.2857142857|||дьяволов|||||Nb
новъгородьскыи|новгородский|0.2857142857|||новгородского||новогородский marginally possible (archaic, toponyms)|||A-
тъкъмо|токмо||||||archaic|||Df
вьсегда|всегда|0.1428571429|||||derivation: весь|ignore derivation||Df
вельми|вельми|0.8787878788|||||very archaic|||Df
мъного|много|0.1666666667||||||||Df
небесьныи|небесный|0.2222222222|||небесен|||||A-
оружие|оружие|0||||||||Nb
хрьстиянинъ|христианин|0.2727272727||||||#irrelevant_irregular_change?||Nb
чьсть|честь|0.2||||||||Nb
правьдьныи|праведный|0.3||||||||A-
събьрати|собрать|0.375|||||cобирать?? #aspect|||V-
сълньце|солнце|0.2857142857||||||||Nb
духовьныи|духовный|0.2222222222||||||||A-
искати|искать|0.1666666667||||||||V-
чьстьныи|честный|0.5555555556||||||||A-
написати|написать|0.125||||||#irrelevant_irregular_change?||V-
питие|питьё|0.4||||||||Nb
каменьныи|каменный|0.2222222222||||||||A-
келия|келья|0.2||||||||Nb
възложити|возложить|0.4444444444||||||||V-
цѣсарьство|царство|0.3|||||#irrelevant_irregular_change|#irrelevant_irregular_change?||Nb
грьчьскыи|греческий, грецкий|0.4444444444||||||||A-
пити|пить|0.25||||||||V-
божьствьныи|божественный|0.3333333333||||||||A-
съто|сто|1||||||non-complex numerals retained||Ma
учение|учение|0||||||||Nb
половьци|половцы|||||||||Nb
отъяти|отнять|0.3333333333|||||#irrelevant_irregular_change|||V-
зъвати|звать|0.3333333333||||||||V-
цьркъвьныи|церковный|0.4||||||||A-
вънукъ|внук|0.3333333333||||||||Nb
възлюбити|возлюбить|0.4444444444||||||||V-
угъринъ|угрин|1|||||marginal|||Nb
съзьдати|создать|0.375|||||созидать?? #aspect|||V-
отъпустити|отпустить|0.2||||||||V-
мьнѣти|мнить|0.8333333333||||||||V-
отъвѣщати|отвечать|0.4444444444||||||accept отвечать as a match here? мочь was accepted as a match for мощи||V-
погыбнути|погибнуть|0.2222222222||||||||V-
крьщение|крещение|0.125||||||||Nb
чьтобы|чтобы|0.1666666667||||||||G-
благословение|благословение|0||||||||Nb
грѣшьныи|грешный|0.375||||||||A-
выити|выйти|||||||||V-
помиловати|помиловать|0.1|||||remove?? orthography|||V-
българе|болгаре|0.2857142857||||||||Nb
хрьстияньскыи|христианский|0.3846153846||||||#irrelevant_irregular_change?||A-
тьрпѣти|терпеть|0.4285714286||||||||V-
праздьникъ|праздник|0.2||||||||Nb
съвъкупити|совокупить|0.8||||||||V-
изимати|изымать|0.7142857143||||||||V-
съборъ|сбор, собор|0.3333333333||||||||Nb
бѣсовьскыи|бесовский|0.4||||||||A-
призъвати|призвать|0.2222222222||||||||V-
отътолѣ|оттоле|0.5714285714|||||marginal|||Df
благовѣрьныи|благоверный|0.6666666667||||||||A-
младеньць|младенец|0.2222222222||||||||Nb
съпасение|спасение|0.1111111111||||||||Nb
брашьно|брашно|1||||||archaic, but exists in Wiktionary||Nb
мълвити|молвить|0.75||||||||V-
сьребро|серебро|0.1428571429|||||skip?? orthography|keep||Nb
посълъ|посол|0.625||||||||Nb
отъдати|отдать|0.2857142857||||||||V-
пожещи|пожечь|0.6666666667||||||South/East issue||V-
съпасти|спасти|||||||||V-
въскорѣ|вскоре|0.2857142857||||||||Df
испълнити|исполнить|0.4444444444||||||||V-
мьртвыи|мёртвый|0.2857142857||||||||A-
търгъ|торг|0.7692307692||||||||Nb
съпасъ|спас|0.5|||||ignoring capital letters|||Nb
ничьто|ничто|0.1666666667||||||||Px
служьба|служба|0.1428571429||||||||Nb
къняжь|княжий|0.6666666667||||||added княжий|Missed it. Fine with me to add.|A-
съдѣлати|сделать|0.375||||||||V-
кънягыни|княгиня|0.375||||||||Nb
зьрѣти|зреть|0.75||||||||V-
избьрати|избрать|0.25|||||избирать?? #aspect|||V-
чьрноризьць|черноризец|0.2727272727||||||||Nb
къняжити|княжить|0.25||||||||V-
узьрѣти|узреть|0.7142857143||||||||V-
тътъ|тот|0.5||||||||Pd
крѣпъко|крепко|0.8571428571||||||||Df
дъщи|дочь|0.75||||||South/East issue||Nb
грькъ|грек|||||||||Nb
словѣньскыи|словенский|0.4545454545|||||славянский, too, but we can ignore that|agree||A-
сильныи|сильный|0.1428571429||||||||A-
печерьскыи|печерский|0.3||||||||A-
въложити|вложить|0.375||||||||V-
мьнии|меньший|0.5714285714|||||no match, I guess|form inventory same as меньший||A-
съвѣтъ|совет|0.5||||||||Nb
вѣче|вече|0.25||||||||Nb
кърмити|кормить|0.2857142857||||||||V-
съняти|снять|0.3333333333||||||||V-
утвьрдити|утвердить|0.4545454545||||||||V-
тьма|тьма|0.8461538462||||||||Nb
красьныи|красный|0.375||||||||A-
съмѣрение|смирение|0.2222222222||||||||Nb
вѣчьныи|вечный|||||||||A-
повелѣние|повеление|0.6||||||||Nb
прозъвати|прозвать|0.5555555556||||||||V-
стълпъ|столп|0.3333333333||||||||Nb
покаяние|покаяние|0||||||||Nb
страшьныи|страшный|0.2222222222||||||||A-
съподобити|сподобить|0.8333333333||||||||V-
мъногашьды|многажды|0.7272727273||||||||Df
двьрь|дверь|0.2||||||||Nb
къдѣ|где|0.75||||||||Du
пермьскыи|пермский|0.3333333333||||||||A-
наказание|наказание|0||||||||Nb
дияконъ|диакон, дьякон|0.2857142857||||||||Nb
въстокъ|восток|0.2857142857||||||||Nb
прогънати|прогнать|0.2222222222||||||||V-
латиньскыи|латинский|0.3||||||||A-
купьць|купец|0.3333333333||||||||Nb
нѣмьць|немец|0.5||||||||Nb
познати|познать|0.1428571429||||||||V-
въздьржание|воздержание|0.1818181818||||||||Nb
съхранити|сохранить|0.3333333333||||||||V-
пѣние|пение|0.2||||||||Nb
скърбь|скорбь|0.1666666667||||||||Nb
съмотрити|смотреть|0.3333333333|||||why not съмотрѣти??|Sreznevskij has съмотрѣти, but all but one of our infinitive occurrences are съмотрити (and the one съмотрѣти is from Peter I). L-forms are also consistently съмотрил-. and aorist stem is съмотри-. So we actually thought properly about this one!||V-
половьчьскыи|половецкий|0.5||||||||A-
умьрѣти|умереть|||||||||V-
съвьршити|совершить|0.3333333333||||||||V-
цѣлование|целование|0.1111111111||||||||Nb
никъто|никто|0.1666666667||||||||Px
пакость|пакость|1||||||||Nb
въторыи|второй|0.4285714286||||||||Mo
послѣдьнии|последний|0.3||||||||A-
чьрньць|чернец|0.4285714286||||||||Nb
отьчина|вотчина|0.7777777778|||||#irrelevant_irregular_change|||Nb
въздати|воздать|0.2857142857||||||||V-
отъступити|отступить|0.2||||||||V-
съвьршеныи|совершенный|0.3636363636||||||||A-
только|только|0||||||||Df
въвести|ввести|0.1428571429||||||||V-
болѣзнь|болезнь|0.1428571429||||||||Nb
сънити|сойти|0.5|||||#irrelevant_irregular_change|||V-
въспять|вспять|1||||||||Df
ратьныи|ратный|0.7142857143||||||||A-
вълхвъ|волхв|0.3333333333||||||||Nb
въкупѣ|вкупе|0.8333333333||||||||Df
коньчати|кончать|0.25||||||||V-
помочь|помощь|0.1666666667||||||South/East issue||Nb
другъ|друг|||||||||Nb
вънимати|внимать|0.25||||||||V-
человѣчьскыи|человеческий|0.3333333333||||||||A-
льсть|лесть|0.6||||||||Nb
безбожьныи|безбожный|0.2||||||||A-
присьно|присно|0.1428571429||||||||Df
къняжение|княжение|0.1111111111||||||||Nb
събыти|сбыть|0.5714285714||||||||V-
вьрста|верста|0.1666666667||||||||Nb
вѣрьныи|верный|0.4285714286||||||||A-
съмѣти|сметь|0.5||||||||V-
письмо|письмо|0||||||||Nb
чьрныи|чёрный|0.3333333333||||||||A-
пълныи|полный|0.3333333333||||||||A-
пьрстъ|перст|0.8333333333||||||||Nb
дъчи|дочь|||||||||Nb
кънижьныи|книжный|0.3333333333||||||||A-
намѣстьникъ|наместник|0.2727272727||||||||Nb
крьстьныи|крёстный|0.3333333333||||||||A-
съмѣреныи|смиренный|0.4444444444||||||||A-
ростовьць|ростовец|0.2222222222||||||||Nb
выгънати|выгнать|0.25||||||||V-
вълкъ|волк|0.4||||||||Nb
бѣдьныи|бедный|0.4285714286||||||||A-
смьрдъ|смерд|0.3333333333||||||||Nb
съступити|соступить|0.7||||||соступить is in Wiktionary||V-
плъть|плоть|0.2||||||||Nb
вънезаапу|внезапно|0.4444444444|||||#irrelevant_irregular_change|suffix added in Russian, retain?||Df
цѣсарьствовати|царствовать|0.2857142857|||||#irrelevant_irregular_change|||V-
съзъвати|созвать|0.375|||||созывать, #aspect|||V-
овьца|овца|0.2||||||||Nb
умъножити|умножить|0.2222222222||||||||V-
отъходити|отходить|0.6666666667||||||||V-
безаконие|беззаконие|0.1||||||||Nb
пътица|птица|0.1666666667||||||||Nb
печальныи|печальный|0.1111111111||||||||A-
посадьничьство|посадничество|||||||||Nb
противьныи|противный|0.2||||||||A-
вълѣзти|влезть|0.5714285714||||||||V-
сълати|слать|0.5||||||||V-
погънати|погнать|0.375||||||||V-
больныи|больной|0.2857142857||||||||A-
генварь|январь|0.2857142857|||||#irrelevant_irregular_change|||Nb
зълоба|злоба|0.5||||||||Nb
гънати|гнать|0.3333333333||||||||V-
горькыи|горький|0.2857142857||||||||A-
въпити|вопить|0.8571428571||||||||V-
чудьныи|чудный|0.2857142857||||||||A-
только|только|0.4545454545||||||||Dq
польза|польза|0||||||||Nb
пушька|пушка|0.1666666667||||||||Nb
пьсковичь|пскович|||||||||Nb
съпати|спать|0.3333333333||||||||V-
почьто|почто|0.8333333333||||||||Du
тяжькыи|тяжкий|0.4285714286||||||||A-
различьныи|различный|0.2||||||||A-
грѣшьникъ|грешник|0.3333333333||||||||Nb
съгрѣшити|согрешить|0.4444444444||||||||V-
истиньныи|истинный|0.2222222222||||||||A-
олтарь|алтарь|0.1666666667||||||#irrelevant_irregular_change?||Nb
игуменьство|игуменство|0.8181818182||||||||Nb
тысячьскыи|тысяцкий|0.7777777778||||||||A-
рукодѣлие|рукоделие|0.2222222222||||||||Nb
ветъхыи|ветхий|0.4285714286||||||||A-
кляти|клять|0.5||||||||V-
зажещи|зажечь|0.3333333333||||||South/East issue||V-
упъвати|уповать|0.9||||||||V-
стрыи|стрый|||||||||Nb
вьсегды|всегда|0.2857142857||||||#irrelevant_irregular_change?||Df
авъгустъ|август|0.25||||||||Nb
орда|орда|0||||||||Nb
кыевьскыи|киевский|0.4444444444||||||||A-
въздвигнути|воздвигнуть|0.7272727273||||||||V-
вѣньць|венец|0.5||||||||Nb
съложити|сложить|0.25||||||||V-
судия|судья|0.2||||||||Nb
крѣпъкыи|крепкий|0.5||||||||A-
вьрхъ|верх|0.4||||||||Nb
съказывати|сказывать|0.8||||||||V-
желѣзьныи|железный|0.3333333333||||||||A-
бесчисльныи|бесчисленный|0.25||||||||A-
съсудъ|сосуд|0.3333333333||||||||Nb
събирати|собирать|0.25||||||||V-
прославляти|прославлять|0.0909090909||||||||V-
правьдьникъ|праведник|0.2727272727||||||||Nb
вельможа|вельможа|0||||||||Nb
побити|побить|0.1666666667||||||||V-
рожьство|рождество|0.3333333333||||||South/East issue||Nb
съдоровыи|здоровый|0.3333333333||||||||A-
мънихъ|мних|0.5||||||archaic, but is in Wiktionary||Nb
крьстиянинъ|христианин|0.3636363636|||||#irrelevant_irregular_change|||Nb
свѣтьлыи|светлый|0.375||||||||A-
кротъкыи|кроткий|0.375||||||||A-
деревьня|деревня|0.125||||||||Nb
възвѣстити|возвестить|0.8||||||||V-
съблюсти|соблюсти|0.7777777778||||||||V-
мирьскыи|мирской|0.375||||||||A-
къдѣ|где|0.9||||||||Df
мольба|мольба|0||||||||Nb
славьныи|славный|0.25||||||||A-
готьскыи|готский|||||||||A-
ростовьскыи|ростовский|0.2727272727||||||||A-
четвьртыи|четвёртый|0.2222222222||||||||Mo
жьдати|ждать|0.3333333333||||||||V-
мыслити|мыслить|0.8571428571||||||||V-
дъждь|дождь|0.2||||||||Nb
напълнити|наполнить|0.2222222222||||||||V-
постьныи|постный|0.25||||||||A-
прѣзьрѣти|презреть|0.7||||||||V-
ключьникъ|ключник|0.2222222222||||||||Nb
възимати|взымать|0.7272727273||||||||V-
подобьныи|подобный|0.6||||||||A-
веселие|веселье|0.1428571429||||||||Nb
жидовьскыи|жидовский|0.7||||||||A-
съкрушити|сокрушить|0.7777777778||||||||V-
тьмьница|темница|0.625||||||||Nb
чьрниговьскыи|черниговский|0.3076923077||||||||A-
свободьныи|свободный|0.2||||||||A-
платье|платье|0||||||||Nb
жестъкыи|жёсткий, жестокий|0.375||||||||A-
мьстити|мстить|0.2857142857||||||||V-
пъртъ|порт|0.9090909091||||||"порт in the sense ""fabric"" is in Wiktionary"||Nb
отънудь|отнюдь|0.9||||||||Df
дивьныи|дивный|0.2857142857||||||||A-
пятъкъ|пяток|0.5714285714|||||legitimate match, right? The meaning is completely different ('five items', not 'Friday'), but still|I think it's legit||Nb
суждальць|суздалец|||||||||Nb
деньга|деньга|0.1666666667||||||||Nb
въпрашати|вопрошать|0.5||||||#irrelevant_irregular_change||V-
ръвъ|ров|0.5||||||||Nb
съборьныи|соборный, сборный|0.3333333333||||||||A-
ангельскыи|ангельский|0.2||||||||A-
съгорѣти|сгореть|||||||||V-
сътяжати|стяжать|0.7777777778||||||||V-
позъвати|позвать|0.25||||||||V-
въсприяти|воспринять|0.7777777778||||||воспринять added||V-
видѣние|видение|0.1428571429||||||||Nb
пьсъ|пёс|1||||||you don't use ё elsewhere (not in твердый, for example)||Nb
дѣтьскыи|детский|0.5||||||||A-
угърьскыи|угорский|0.7||||||||A-
събрати|собрать|||||||||V-
съмирити|смирить|0.25||||||||V-
сияти|сиять|0.2||||||||V-
цѣсарьствие|царствие|0.2727272727|||||#irrelevant_irregular_change|||Nb
крьстияньскыи|христианский|0.4615384615|||||#irrelevant_irregular_change|||A-
богатьство|богатство|0.1||||||||Nb
ольговъ|Олегов|0.4285714286||||||||A-
къзнь|кознь|0.2||||||||Nb
неправьда|неправда|0.1111111111||||||||Nb
дължьныи|должный|0.375||||||||A-
манастырьскыи|монастырский|0.3076923077||||||#irrelevant_irregular_change?||A-
обѣдьня|обедня|0.875||||||||Nb
съдравыи|здравый|||||||||A-
съвязати|связать|0.25||||||||V-
хълмъ|холм|0.4||||||||Nb
золото|золото|0|||||skip? #orthography|||Nb
шатьръ|шатёр|0.3333333333||||||||Nb
православьныи|православный|0.1538461538||||||||A-
неизреченьныи|неизречённый|0.1538461538||||||||A-
твьрдыи|твердый|0.2857142857||||||||A-
огньныи|огненный|0.375||||||||A-
сънъ|сон|0.5||||||||Nb
обычьныи|обычный|0.25||||||||A-
свиния|свинья|0.1666666667||||||||Nb
литургия|литургия|0||||||||Nb
домашьнии|домашний|0.2222222222||||||||A-
бъчька|бочка|0.3333333333||||||||Nb
съмысльныи|смышлёный|0.8461538462||||||do we count сл > шл as regular change? Probably not?||A-
съходити|сходить|0.25||||||||V-
въпрѣдъ|впредь|0.4285714286||||||||Df
съжалити|сожалеть|0.375||||||#irrelevant_irregular_change?||V-
мьзда|мзда|0.8||||||||Nb
въселити|вселить|0.375||||||||V-
начинати|начинать|0.125||||||||V-
благовѣщение|благовещенье|0.696969697||||||||Nb
послушание|послушание|0||||||||Nb
нѣчьто|нечто|0.3333333333||||||||Px
съвьршати|совершать|0.625|||||different meaning|||V-
домочадьць|домочадец|0.9||||||||Nb
довольныи|довольный|0.1111111111||||||||A-
тѣлесьныи|телесный|0.3333333333||||||||A-
судьно|судно|0.1666666667||||||||Nb
азъбука|азбука|||||||||Nb
устие|устье|0.2|||||no alternation with -ие|||Nb
боярьскыи|боярский|0.3333333333||||||||A-
прилежьно|прилежно|0.1111111111||||||||Df
дьньсь|днесь|1||||||||Df
отъвѣтъ|ответ|0.4285714286||||||||Nb
