chu_lemma|orv_lemma|pos|lcs_lemma|conj_type
обꙑчаи|обычаи|Nb|obyčǢjь|masc_jo
подати|подати|V-|podati|dati
покаꙗти|покаяти|V-|pokajǢti|53
клѧти|кляти|V-|klęti|12
памѧть|память|Nb|pamętь|fem_i
сильнъ|сильныи|A-|silьnъ|adj_hard
доуховьнъ|духовьныи|A-|duxovьnъ|adj_hard
имати|имати|V-|jьmati|52_abl
доити#2|доити|V-|dojьti|jьti
близъ|близъ|R-|blizъ|
чистъ|чистыи|A-|čistъ|adj_hard
свѣтьлъ|свѣтьлыи|A-|světьlъ|adj_hard
въпасти|въпасти|V-|vъpasti|11
разорити|разорити|V-|orzoriti|40
трапеза|трапеза|Nb|trapeza|fem_a
велѣти|велѣти|V-|velěti|31
бесѣдовати|бесѣдовати|V-|besědovati|61
еи|еи|I-|????|
отъкѫдоу|отъкуду|Du|otъkǫdu|
трьпѣти|тьрпѣти|V-|tŕ̥pěti|31
постꙑдѣти|постыдѣти|V-|postyděti|31
надѣꙗти|надѣяти|V-|nadějǢti|53
бѣда|бѣда|Nb|běda|fem_a
иродъ|иродъ|Ne|irodъ|masc_o_u
колико|колико|Du|koliko|
страньнъ|стороньныи|A-|stornьnъ|adj_hard
веселити|веселити|V-|veseliti|40
отъпоущати|отъпущати|V-|otъpušћǢti|54
пътица|пътица|Nb|pъtika|fem_a_PV3
иона|иона|Ne|ijona|masc_a
чрѣво|черево|Nb|červo|nt_o
льсть|льсть|Nb|lьstь|fem_i
крьщениѥ|крьщение|Nb|krьšћenьje|nt_jo
събирати|събирати|V-|sъbirati|54
прѣдаꙗти|передаяти|V-|perdajǢti|53
авраамъ|авраамъ|Ne|avraamъ|masc_o
вѣ|азъ|Pp|azъ|azъ
дѣти|дѣти|Nb|dětь|fem_i
праздьникъ|праздьникъ|Nb|porzdьnikъ|masc_o
нечьстивъ|нечьстивыи|A-|nečьstivъ|adj_hard
храмъ|хоромъ|Nb|xormъ|masc_o
слоужьба|служьба|Nb|služьba|fem_a
вельми|вельми|Df|velьmi|
въсхотѣти|въсхотѣти|V-|vъsxotěti|will
пища|пища|Nb|piћǢ|fem_ja
таина|таина|Nb|tajьna|fem_a
рꙑба|рыба|Nb|ryba|fem_a
родитель|родитель|Nb|roditeĺь|masc_tel
чаꙗти|чаяти|V-|čǢjǢti|53
брашьно|брашьно|Nb|boršьno|nt_o
пострадати|пострадати|V-|postradati|52
разгнѣвати|розгнѣвати|V-|orzgněvati|54
завѣтъ|завѣтъ|Nb|zavětъ|masc_o
сънъ|сънъ|Nb|sъnъ|masc_o
кꙑи|кыи|Px|kъjь|kъjь
славьнъ|славьныи|A-|slavьnъ|adj_hard
съподобити|съподобити|V-|sъpodobiti|40
евангелиѥ|евангелие|Nb|evanǵelьje|nt_jo
прѣстолъ|прѣстолъ|Nb|perstolъ|masc_o
николиже|николиже|Df|nikoliže|
страдати|страдати|V-|stradati|52
недѫгъ|недугъ|Nb|nedǫgъ|masc_o
одръ|одръ|Nb|odrъ|masc_o
чаша|чаша|Nb|čǢšǢ|fem_ja
зьрѣти|зьрѣти|V-|zьrěti|31
забꙑти|забыти|V-|zabyti|pref_byti
колѣно|колѣно|Nb|kolěno|nt_o
готовъ|готовыи|A-|gotovъ|adj_hard
рана|рана|Nb|rana|fem_a
тварь|тварь|Nb|tvarь|fem_i
мꙑтарь|мытарь|Nb|mytaŕь|masc_ar
десница|десница|Nb|desnika|fem_a_PV3
сьребро|сьребро|Nb|sьrebro|nt_o
възвести|възвести|V-|vъzvesti|11
богатьство|богатьство|Nb|bogatьstvo|nt_o
старѣишина|старѣишина|Nb|starějьšina|masc_a
съкровище|съкровище|Nb|sъkrovišče|nt_jo
сърѣсти|сърѣсти|V-|sъrěsti|rěsti
съмѧсти|съмясти|V-|sъmęsti|11
сквозѣ|сквозѣ|R-|skvozě|
талантъ|талантъ|Nb|talanъtъ|masc_o
область|оболость|Nb|obvolstь|fem_i
въскрѣшениѥ|въскрѣшение|Nb|vъskrěšenьje|nt_jo
поити|поити|V-|pojьti|jьti
неже|неже|Df|neže|
дрьжава|дьржава|Nb|dŕ̥žǢva|fem_a
щоуждь|чужии|A-|ћuђь|adj_soft
противѫ|противу|R-|protivǫ|
възлежати|възлежати|V-|vъzležǢti|31
съсѫдъ|съсудъ|Nb|sъsǫdъ|masc_o
слоухъ|слухъ|Nb|sluxъ|masc_o
писмѧ|письмя|Nb|pisьmę|nt_N
възгласити|възгласити|V-|vъzgolsiti|40
колижьдо|колижьдо|Df|koližьdo|
неправьдьнъ|неправьдьныи|A-|nepravьdьnъ|adj_hard
мѫдрость|мудрость|Nb|mǫdrostь|fem_i
помощи|помочи|V-|pomoћi|11
дѣлати|дѣлати|V-|dělati|54
съвѣдѣниѥ|съвѣдѣние|Nb|sъvěděnьje|nt_jo
прикоснѫти|прикоснути|V-|prikosnǫti|22
събꙑти|събыти|V-|sъbyti|pref_byti
избꙑти|избыти|V-|jьzbyti|pref_byti
еда|еда|G-|jeda|
вѣньць|вѣньць|Nb|věnьkь|masc_o_PV3
ꙗрость|ярость|Nb|jǢrostь|fem_i
оставлꙗти|оставляти|V-|ostavĺǢti|54
чловѣчь|человѣчии|A-|čьlověčь|adj_soft
въложити|въложити|V-|vъložiti|40
обрѣтати|обрѣтати|V-|obrětati|54
чоудити|чудити|V-|čuditi|40
съмѣрити|съмѣрити|V-|sъměriti|40
въсходити|въсходити|V-|vъsxoditi|40
дивьнъ|дивьныи|A-|divьnъ|adj_hard
крѣпость|крѣпость|Nb|krěpostь|fem_i
девѧть|девять|Ma|devętь|fem_i
трьниѥ|тьрние|Nb|tŕ̥nьje|nt_jo
ветъхъ|ветъхыи|A-|vetъxъ|adj_hard
покрꙑти|покрыти|V-|pokryti|18
възалъкати|възалъкати|V-|vъzolkati|52
сестра|сестра|Nb|sestra|fem_a
междоу|межу|R-|meђu|
црькъвьнъ|цьркъвьныи|A-|kŕ̥kъvьnъ|adj_hard
когда|къгда|Du|kъgъda|
бъдѣти|бъдѣти|V-|bъděti|31
дворъ|дворъ|Nb|dvorъ|masc_o
распѧти|распяти|V-|orspęti|12
ѫза|уза|Nb|ǫza|fem_a
помꙑслити|помыслити|V-|pomysliti|40
отъвѣтъ|отъвѣтъ|Nb|otъvětъ|masc_o
изволити|изволити|V-|jьzvoliti|40
стадо|стадо|Nb|stado|nt_o
зълоба|зълоба|Nb|zъloba|fem_a
мьзда|мьзда|Nb|mьzda|fem_a
отрочѧ|отроча|Nb|otročę|nt_NT
скръбь|скърбь|Nb|skr̥bь|fem_i
нагъ|нагыи|A-|nagъ|adj_hard
мльчати|мълчати|V-|mĺ̥čǢti|31
ребро|ребро|Nb|rebro|nt_o
никакоже|никакоже|Df|nikakože|
рѣчь|рѣчь|Nb|rěčь|fem_i
осмь|осмь|Ma|osmь|fem_i
минѫти|минути|V-|minǫti|22
помꙑшлѥниѥ|помышление|Nb|pomyšĺenьje|nt_jo
зѫбъ|зубъ|Nb|zǫbъ|masc_o
прьвѣѥ|пьрвѣе|Df|pŕ̥věje|
кланꙗти|кланяти|V-|klańǢti|54
ослабити|ослабити|V-|oslabiti|40
далече|далече|Df|daleče|
поврѣщи|поврѣщи|V-|poverћi|14
тамо|тамо|Df|tamo|
въдати|въдати|V-|vъdati|dati
прьстъ|пьрстъ|Nb|pŕ̥stъ|masc_o
мимоити|мимоити|V-|mimojьti|jьti
бесѣда|бесѣда|Nb|besěda|fem_a
ѫтроба|утроба|Nb|ǫtroba|fem_a
неправьда|неправьда|Nb|nepravьda|fem_a
сионъ|сионъ|Ne|sijonъ|masc_o
чинъ|чинъ|Nb|činъ|masc_o_u
авлꙗти|являти|V-|avĺǢti|54
земьнъ|земьныи|A-|zemьnъ|adj_hard
цѣлити|цѣлити|V-|kěliti|40
злато|золото|Nb|zolto|nt_o
възглаголати|възглаголати|V-|vъzgolgolati|52
крѣпъкъ|крѣпъкыи|A-|krěpъkъ|adj_hard
кость|кость|Nb|kostь|fem_i
прѣльстити|перельстити|V-|perlьstiti|40
призьрѣти|призьрѣти|V-|prizьrěti|31
кровъ|кровъ|Nb|krovъ|masc_o
сѣть|сѣть|Nb|sětь|fem_i
нѫжда|нужа|Nb|nǫђǢ|fem_ja
въселити|въселити|V-|vъsedliti|40
вънѧти|въняти|V-|vъnęti|12
тьмьнъ|тьмьныи|A-|tьmьnъ|adj_hard
постити|постити|V-|postiti|40
свѣтильникъ|свѣтильникъ|Nb|světilьnikъ|masc_o
прѣдѣлъ|прѣдѣлъ|Nb|perdělъ|masc_o
въскѫѭ|въскую|Du|vъskǫjǫ|
прѣмѫдрость|прѣмудрость|Nb|permǫdrostь|fem_i
коупити|купити|V-|kupiti|40
варити|варити|V-|variti|40
оустьна|устьна|Nb|ustьna|fem_a
зълѣ|зълѣ|Df|zъlě|
прѣтити|прѣтити|V-|pertiti|40
искоусити|искусити|V-|jьskusiti|40
веселиѥ|веселие|Nb|veselьje|nt_jo
доброта|доброта|Nb|dobrota|fem_a
страшьнъ|страшьныи|A-|strašьnъ|adj_hard
ѥже|еже|G-|ježe|
оуподобити|уподобити|V-|upodobiti|40
помазати|помазати|V-|pomazati|52
оумꙑти|умыти|V-|umyti|18
плачь|плачь|Nb|plačь|masc_i
жѧтва|жатва|Nb|žętva|fem_a
кротъкъ|кротъкыи|A-|krotъkъ|adj_hard
поустъ|пустыи|A-|pustъ|adj_hard
видѣниѥ|видѣние|Nb|viděnьje|nt_jo
доколѣ|доколѣ|Du|dokolě|
обличити|обличити|V-|obličiti|40
достоꙗниѥ|достояние|Nb|dostojǢnьje|nt_jo
брань|боронь|Nb|bornь|fem_i
съвѣдѣтельство|съвѣдѣтельство|Nb|sъvěděteĺьstvo|nt_o
отъвѣщавати|отъвѣщавати|V-|otъvěћǢvati|54
благодать|благодать|Nb|bolgodatь|fem_i
одрьжати|одьржати|V-|odŕ̥žǢti|31
трьпѣниѥ|тьрпѣние|Nb|tŕ̥pěnьje|nt_jo
безаконьнъ|безаконьныи|A-|bezakonьnъ|adj_hard
мѫчениѥ|мучение|Nb|mǫčenьje|nt_jo
дѣва|дѣва|Nb|děva|fem_a
развѣ|развѣ|R-|razvě|
възненавидѣти|възненавидѣти|V-|vъznenaviděti|viděti
тъкъмо#1|тъкъмо#1|Df|tъkъmo|
лѫкавъ|лукавыи|A-|lǫkavъ|adj_hard
съмотрити|съмотрити|V-|sъmotriti|40
възлещи|възлещи|V-|vъzleћi|infix_11
прѣходити|переходити|V-|perxoditi|40
отътѫдоу|отътуду|Df|otъtǫdu|
рѫгати|ругати|V-|rǫgati|54
филипъ|филипъ|Ne|filipъ|masc_o
занѥ|зане|G-|zańe|
приобрѣсти|приобрѣсти|V-|priobrěsti|rěsti
въкоусити|въкусити|V-|vъkusiti|40
съходити|съходити|V-|sъxoditi|40
кратъ|кратъ|Nb|kortъ|masc_o
зьдати|зьдати|V-|zьdati|52_abl
даже|даже|G-|daže|
мьнии|мьнии|A-|mьńь|adj_soft_comp
оустроити|устроити|V-|ustrojiti|40
оумъножити|умъножити|V-|umъnožiti|40
мꙑсль|мысль|Nb|myslь|fem_i
оупъваниѥ|упъвание|Nb|upъvanьje|nt_jo
скоро|скоро|Df|skoro|
мѫдръ|мудрыи|A-|mǫdrъ|adj_hard
исаиꙗ|исаия|Ne|isajijǢ|masc_ja
погрети|погрети|V-|pogreti|11
сѣмо|сѣмо|Df|sěmo|
вꙑꙗ|выя|Nb|vъjǢ|fem_ja
чѧсть|часть|Nb|čęstь|fem_i
полагати|полагати|V-|polagati|54
въскорѣ|въскорѣ|Df|vъskorě|
съмѣрѥниѥ|съмѣрение|Nb|sъměŕenьje|nt_jo
потрѣбити|потрѣбити|V-|poterbiti|40
зане|зане|G-|zańe|
сѫдьба|судьба|Nb|sǫdьba|fem_a
милостивъ|милостивыи|A-|milostivъ|adj_hard
оударити|ударити|V-|udariti|40
простъ|простыи|A-|prostъ|adj_hard
коснѫти|коснути|V-|kosnǫti|22
пасти#2|пасти#2|V-|pasti|11
мечь|мечь|Nb|mečь|masc_jo
пришьствиѥ|пришьствие|Nb|prišьstvьje|nt_jo
отъстѫпити|отъступити|V-|otъstǫpiti|40
исповѣданиѥ|исповѣдание|Nb|jьspovědanьje|nt_jo
обѣщати|обѣщати|V-|obvěћǢti|54
одежда|одежа|Nb|odeђǢ|fem_ja
храмина|хоромина|Nb|xormina|fem_a
нѣмъ|нѣмыи|A-|němъ|adj_hard
огньнъ|огньныи|A-|ogńьnъ|adj_hard
продати|продати|V-|prodati|dati
сътѧѕати|сътязати|V-|sъtęgati|54
проити|проити|V-|projьti|jьti
въспѧть|въспять|Df|vъspętь|
различьнъ|различьныи|A-|orzličьnъ|adj_hard
источьникъ|источьникъ|Nb|jьstočьnikъ|masc_o
нѣкъто|нѣкъто|Px|někъto|kъto
оуклонити|уклонити|V-|ukloniti|40
влъхвъ|вълхвъ|Nb|vl̥xvъ|masc_o
иѥреи|иереи|Nb|ijerejь|masc_jo_foreign
помощьникъ|помощьникъ|Nb|pomoћьnikъ|masc_o
исправити|исправити|V-|jьspraviti|40
власъ|волосъ|Nb|volsъ|masc_o
напасть|напасть|Nb|napastь|fem_i
хоула|хула|Nb|xula|fem_a
глѫбина|глубина|Nb|glǫbina|fem_a
отълѫчити|отълучити|V-|otъlǫčiti|40
како|како|Df|kako|
вꙑсокъ|высокыи|A-|vysokъ|adj_hard
съвѣщати|съвѣщати|V-|sъvěšћǢti|54
длъжьнъ|дължьныи|A-|dl̥žьnъ|adj_hard
оскврьнити|осквьрнити|V-|oskvŕ̥niti|40
покорити|покорити|V-|pokoriti|40
раждещи|раждещи|V-|oržǯeћi|11
пещера|печера|Nb|peћera|fem_a
мꙑслити|мыслити|V-|mysliti|40
свѧтити|святити|V-|svętiti|40
ни|ни|I-|ni|
коньчина|коньчина|Nb|konьčina|fem_a
съблазнити|съблазнити|V-|sъblazniti|40
крьститель|крьститель|Nb|krьstiteĺь|masc_tel
нѫдити|нудити|V-|nǫditi|40
младьньць|младьньць|Nb|moldьnьkь|masc_o_PV3
продаꙗти|продаяти|V-|prodajǢti|53
искоушати|искушати|V-|jьskušǢti|54
прогнѣвати|прогнѣвати|V-|progněvati|54
юноша|юноша|Nb|junošǢ|masc_ja
отьчь|отьчии|A-|otьčь|adj_soft
захариꙗ|захария|Ne|zaxarijǢ|masc_ja
вьсегда|вьсегда|Df|vьxegъda|
съвлѣщи|съволочи|V-|sъvelћi|15
стрѣщи|стеречи|V-|sterћi|11
сѣнь|сѣнь|Nb|sěnь|fem_i
старъ|старыи|A-|starъ|adj_hard
свѣща|свѣща|Nb|sveћǢ|fem_ja
испрьва|испьрва|Df|jьspŕ̥va|
коньчати|коньчати|V-|konьčǢti|54
наставити|наставити|V-|nastaviti|40
кротость|кротость|Nb|krotostь|fem_i
прѣложити|переложити|V-|perložiti|40
жилище|жилище|Nb|žilišče|nt_jo
съмѣрѥнъ|съмѣреныи|A-|sъměŕenъ|adj_hard
съблюсти|съблюсти|V-|sъbĺusti|11
лихъ|лихыи|A-|lixъ|adj_hard
очистити|очистити|V-|očistiti|40
просвѣтити|просвѣтити|V-|prosvětiti|40
въскрѣсити|въскрѣсити|V-|vъskrěsiti|40
отъдати|отъдати|V-|otъdati|dati
чоути|чути|V-|čuti|čuti
работати|роботати|V-|orbotati|54
одѣти|одѣти|V-|oděti|dedj
свиниꙗ|свиния|Nb|svinьjǢ|fem_ja
змиꙗ|змия|Nb|zmьjǢ|fem_ja
лъжь|лъжии|A-|lъžь|adj_soft
влькъ|вълкъ|Nb|vĺ̥kъ|masc_o
вльна|вълна|Nb|vĺ̥na|fem_a
заповѣдати|заповѣдати|V-|zapovědati|54
съньмъ|съньмъ|Nb|sъnьmъ|masc_o
въсадити|въсадити|V-|vъsaditi|40
раздрѣшити|раздрѣшити|V-|orzrěšiti|40
оумльчати|умълчати|V-|umĺ̥čǢti|31
прозьрѣти|прозьрѣти|V-|prozьrěti|31
оудрьжати|удьржати|V-|udŕ̥žǢti|31
отъселѣ|отъселѣ|Df|otъselě|
гнѣвати|гнѣвати|V-|gněvati|54
оумирати|умирати|V-|umirati|54
стꙑдѣти|стыдѣти|V-|styděti|31
львъ|львъ|Nb|lьvъ|masc_o
сладъкъ|сладъкыи|A-|soldъkъ|adj_hard
въсхвалити|въсхвалити|V-|vъsxvaliti|40
правьдивъ|правьдивыи|A-|pravьdivъ|adj_hard
оудъ|удъ|Nb|udъ|masc_u
обити#1|обити|V-|objьti|jьti
отъпасти|отъпасти|V-|otъpasti|11
прѣлюбꙑ|прѣлюбы|Nb|perĺuby|fem_uu
пагоуба|пагуба|Nb|paguba|fem_a
поздѣ|поздѣ|Df|pozdě|
женихъ|женихъ|Nb|ženixъ|masc_o
пастꙑрь|пастырь|Nb|pastyŕь|masc_jo
цѣлъ|цѣлыи|A-|kělъ|adj_hard
оукрасити|украсити|V-|ukrasiti|40
вънѣ|вънѣ|Df|vъně|
прѣстати|перестати|V-|perstati|stati
почисти|почисти|V-|počisti|ьt
приближати|приближати|V-|približǢti|54
съвѣдѣтель|съвѣдѣтель|Nb|sъvěděteĺь|masc_tel
вечеръ|вечеръ|Nb|večerъ|masc_o
проклѧти|прокляти|V-|proklęti|12
похвалити|похвалити|V-|poxvaliti|40
божьство|божьство|Nb|božьstvo|nt_o
римьскъ|римьскыи|A-|rimьskъ|adj_hard
бракъ|бракъ|Nb|bьrakъ|masc_o
възимати|възимати|V-|vъzьmati|52_abl
клѧтва|клятва|Nb|klętva|fem_a
напльнити|напълнити|V-|napĺ̥niti|40
похоть|похоть|Nb|poxotь|fem_i
вънимати|вънимати|V-|vъnьmati|52_abl
пьсъ|пьсъ|Nb|pьsъ|masc_o
испꙑтати|испытати|V-|jьspytati|54
гонити|гонити|V-|goniti|40
сънѣсти|сънѣсти|V-|sъněsti|pref_eat
побѣда|побѣда|Nb|poběda|fem_a
пьшеница|пьшеница|Nb|pьšenika|fem_a_PV3
заповѣдѣти|заповѣдѣти|V-|zapověděti|wote
вьдовица|вьдовица|Nb|vьdovika|fem_a_PV3
пльнъ|пълныи|A-|pĺ̥nъ|adj_hard
хоулити|хулити|V-|xuliti|40
сътѫжати|сътужати|V-|sъtǫžǢti|54
дрьзнѫти|дьрзнути|V-|dŕ̥znǫti|21
жьдати|жьдати|V-|žьdati|51_abl
поношениѥ|поношение|Nb|ponošenьje|nt_jo
гръдъ|гърдыи|A-|gr̥dъ|adj_hard
потрѣба|потрѣба|Nb|poterba|fem_a
застѫпьникъ|заступьникъ|Nb|zastǫpьnikъ|masc_o
юность|юность|Nb|junostь|fem_i
безоумиѥ|безумие|Nb|bezumьje|nt_jo
лъжа|лъжа|Nb|lъžǢ|fem_ja
троица|троица|Nb|trojika|fem_a_PV3
противити|противити|V-|protiviti|40
отътѫдѣ|отътудѣ|Df|otъtǫdě|
цѣловати|цѣловати|V-|kělovati|61
въсприѩти|въсприяти|V-|vъsprijęti|12
расти|расти|V-|orsti|11
троуждати|тружати|V-|truђǢti|54
слѣпьць|слѣпьць|Nb|slěpьkь|masc_o_PV3
отъкрꙑти|отъкрыти|V-|otъkryti|18
напоити|напоити|V-|napojiti|40
хромъ|хромыи|A-|xromъ|adj_hard
гории|гории|A-|goŕь|adj_soft_comp
противьнъ|противьныи|A-|protivьnъ|adj_hard
невѣрьнъ|невѣрьныи|A-|nevěrьnъ|adj_hard
вещь|вещь|Nb|veћь|fem_i
пѣнѧѕь|пѣнязь|Nb|pěnęgь|masc_o_PV3
мимоходити|мимоходити|V-|mimoxoditi|40
вои|вои|Nb|vojь|masc_jo
кесарь|кесарь|Nb|ḱesaŕь|masc_jo_foreign
ѫже|уже|Nb|ǫže|nt_jo
заоутра|заутра|Df|zautra|
скотъ|скотъ|Nb|skotъ|masc_o
число|число|Nb|čislo|nt_o
прѣклонити|прѣклонити|V-|perkloniti|40
обьщь|обьчии|A-|obьћь|adj_soft
покланꙗти|покланяти|V-|poklańǢti|54
рачити|рачити|V-|račiti|40
мѣра|мѣра|Nb|měra|fem_a
съдравъ|съдоровыи|A-|sъdorvъ|adj_hard
окрьстъ|окрьстъ|R-|okrьstъ|
врачь|врачь|Nb|vьračь|masc_ju
мѣхъ|мѣхъ|Nb|měxъ|masc_o
глоухъ|глухыи|A-|gluxъ|adj_hard
поносити|поносити|V-|ponositi|40
покои|покои|Nb|pokojь|masc_jo
соухъ|сухыи|A-|suxъ|adj_hard
оутро|утро|Df|utro|
въсѣсти|въсѣсти|V-|vъsěsti|infix_11
оужасати|ужасати|V-|užǢsati|54
начѧло|начало|Nb|načęlo|nt_o
ѕвѣзда|звѣзда|Nb|gvězda|fem_a
ножь|ножь|Nb|nožь|masc_jo
оужаснѫти|ужаснути|V-|užǢsnǫti|21
сънѧти|съняти|V-|sъnęti|12
ꙗзва|язва|Nb|jǢzva|fem_a
съпасати|съпасати|V-|sъpasati|54
подвиѕати|подвизати|V-|podvigati|54
начѧтъкъ|начатъкъ|Nb|načętъkъ|masc_o
соуѥтьнъ|суетьныи|A-|sujetьnъ|adj_hard
конь|конь|Nb|końь|masc_jo
небрѣщи|небрѣщи|V-|neberћi|15
пастоухъ|пастухъ|Nb|pastuxъ|masc_o
окаꙗнъ|окаяныи|A-|okajǢnъ|adj_hard
пакость|пакость|Nb|pakostь|fem_i
жѧдати|жадати|V-|žędati|52
никꙑиже|никыиже|Px|nikъjьže|kъjьže
оумѣти|умѣти|V-|uměti|32
прокаженъ|прокаженыи|A-|prokaženъ|adj_hard
сътьникъ|сътьникъ|Nb|sъtьnikъ|masc_o
въстокъ|въстокъ|Nb|vъstokъ|masc_o
западъ|западъ|Nb|zapadъ|masc_o
жьзлъ|жьзлъ|Nb|žьzlъ|masc_o
трьсть|тръсть|Nb|trъstь|fem_i
оуготовити|уготовити|V-|ugotoviti|40
доселѣ|доселѣ|Df|doselě|
оутаити|утаити|V-|utajiti|40
брѣмѧ|брѣмя|Nb|bermę|nt_N
неповиньнъ|неповиньныи|A-|nepovinьnъ|adj_hard
оумолити|умолити|V-|umodliti|40
мѫчитель|мучитель|Nb|mǫčiteĺь|masc_tel
оукрасти|украсти|V-|ukrasti|11
възможьнъ|възможьныи|A-|vъzmožьnъ|adj_hard
нѣчьто|нѣчьто|Px|něčьto|čьto
жрѣбѧ|жеребя|Nb|žerbę|nt_NT
отрѣшити|отрѣшити|V-|otrěšiti|40
авраамль|авраамль|A-|avraamĺь|adj_soft
гладъ|голодъ|Nb|goldъ|masc_o
недостоинъ|недостоиныи|A-|nedostojьnъ|adj_hard
крѣпити|крѣпити|V-|krěpiti|40
тѣлесьнъ|тѣлесьныи|A-|tělesьnъ|adj_hard
слоушати|слушати|V-|slušǢti|54
прилежати|прилежати|V-|priležǢti|31
стоудъ|студъ|Nb|studъ|masc_o
животьнъ|животьныи|A-|životьnъ|adj_hard
вꙑсота|высота|Nb|vysota|fem_a
чоудьнъ|чудьныи|A-|čudьnъ|adj_hard
непорочьнъ|непорочьныи|A-|neporočьnъ|adj_hard
измѣнити|измѣнити|V-|jьzměniti|40
миловати|миловати|V-|milovati|61
прьвоѥ|пьрвое|Df|pŕ̥voje|
врѣдъ|врѣдъ|Nb|verdъ|masc_o
хоудъ|худыи|A-|xudъ|adj_hard
искрьнии|искрьнии|A-|jьskrьńь|adj_soft
